ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
mm1367	chr3:142342031-142345469	PLS1(intragenic)	chr3:142623189-142626627	chr9:95713136-95716028	Pls1(intragenic)	chr9:95812717-95815609
mm1062	chr3:14358332-14362343	LSM3-LOC101927565	chr3:14316832-14320843	chr6:91565044-91568515	Lsm3-Slc6a6	chr6:91615050-91618521
hs212	chr3:147030229-147031770	PLSCR5-ZIC4	chr3:147312442-147313983	chr9:91357195-91358729	Zic4-Plscr5	chr9:91462357-91463891
hs213	chr3:147049536-147051100	PLSCR5-ZIC4	chr3:147331749-147333313	chr9:91340605-91342122	Zic4-Plscr5	chr9:91445767-91447284
hs1043	chr3:147125146-147126336	ZIC4-ZIC1	chr3:147407359-147408549	chr9:91261696-91263040	Zic1-Zic4	chr9:91366858-91368202
hs1173	chr3:147378547-147380603	ZIC1-AGTR1	chr3:147660760-147662816	chr9:90982786-90984929	Tbc1d2b-Zic1	chr9:91087948-91090091
hs1184	chr3:147393021-147394349	ZIC1-AGTR1	chr3:147675234-147676562	chr9:90968163-90969506	Tbc1d2b-Zic1	chr9:91073325-91074668
hs1573	chr3:147563409-147566604	ZIC1-AGTR1	chr3:147845622-147848817	chr9:90797098-90800475	Tbc1d2b-Zic1	chr9:90902260-90905637
hs1224	chr3:147651676-147653436	ZIC1-AGTR1	chr3:147933889-147935649	chr9:90728024-90729843	Tbc1d2b-Zic1	chr9:90833186-90835005
hs1038	chr3:147748015-147749579	ZIC1-AGTR1	chr3:148030228-148031792	chr9:90634620-90636312	Tbc1d2b-Zic1	chr9:90739782-90741474
hs1549	chr3:147753310-147755618	ZIC1-AGTR1	chr3:148035523-148037831	chr9:90625508-90627432	Tbc1d2b-Zic1	chr9:90730670-90732594
hs739	chr3:147793207-147794247	ZIC1-AGTR1	chr3:148075420-148076460	chr9:90595043-90596110	Tbc1d2b-Zic1	chr9:90700205-90701272
hs654	chr3:147801015-147802169	ZIC1-AGTR1	chr3:148083228-148084382	chr9:90587647-90588760	Tbc1d2b-Zic1	chr9:90692809-90693922
hs1203	chr3:147802357-147803586	ZIC1-AGTR1	chr3:148084570-148085799	chr9:90586147-90587363	Tbc1d2b-Zic1	chr9:90691309-90692525
hs1115	chr3:148006499-148007810	ZIC1-AGTR1	chr3:148288712-148290023	chr9:90314459-90316154	Tbc1d2b-Zic1	chr9:90419621-90421316
hs1787	chr3:148085265-148088422	ZIC1-AGTR1	chr3:148367478-148370635	chr9:90208625-90211205	Tbc1d2b-Zic1	chr9:90313787-90316367
mm86	chr3:148717613-148719608	GYG1(intragenic)	chr3:148999826-149001821	chr3:20044305-20045900	Gyg(intragenic)	chr3:20144419-20146014
mm1640	chr3:149251480-149253400	WWTR1(intragenic)	chr3:149533693-149535613	chr3:57274043-57275619	Wwtr1(intragenic)	chr3:57470121-57471697
mm163	chr3:152148185-152150477	TMEM14E-P2RY1	chr3:152430396-152432688	chr3:60406133-60407586	Mbnl1(intragenic)	chr3:60602211-60603664
mm1365	chr3:155420826-155423402	PLCH1-C3orf33	chr3:155703037-155705613	chr3:63673741-63676349	Plch1-E130311K13Rik	chr3:63869819-63872427
hs2232	chr3:156845778-156849158	LINC00881-CCNL1	chr3:157127989-157131369	chr3:65730817-65734056	Lekr1-Ccnl1	chr3:65926895-65930134
mm1459	chr3:156891459-156893886	CCNL1-VEPH1	chr3:157173670-157176097	chr3:65777795-65780286	Ccnl1-Veph1	chr3:65973873-65976364
hs2571	chr3:156964955-156970887	CCNL1-VEPH1	chr3:157247166-157253098	chr3:65848661-65852044	Ccnl1-Veph1	chr3:66044739-66048122
mm1842	chr3:157325401-157327524	C3orf55-SHOX2	chr3:157607612-157609735	chr3:66204101-66206611	Ptx3-Shox2	chr3:66400179-66402689
mm2000	chr3:157548215-157549330	C3orf55-SHOX2	chr3:157830426-157831541	chr3:66454202-66455306	Ptx3-Shox2	chr3:66650280-66651384
hs1284	chr3:157573564-157575297	C3orf55-SHOX2	chr3:157855775-157857508	chr3:66487338-66489093	Ptx3-Shox2	chr3:66683416-66685171
hs638	chr3:157589226-157590363	C3orf55-SHOX2	chr3:157871437-157872574	chr3:66504708-66505840	Ptx3-Shox2	chr3:66700786-66701918
hs1409	chr3:157636456-157638041	C3orf55-SHOX2	chr3:157918667-157920252	chr3:66548424-66550031	Ptx3-Shox2	chr3:66744502-66746109
hs1251	chr3:157775742-157778000	C3orf55-SHOX2	chr3:158057953-158060211	chr3:66738657-66741162	Ptx3-Shox2	chr3:66934735-66937240
hs1262	chr3:157779422-157781220	C3orf55-SHOX2	chr3:158061633-158063431	chr3:66742245-66744039	Ptx3-Shox2	chr3:66938323-66940117
hs602	chr3:157850874-157852181	RSRC1(intragenic)	chr3:158133085-158134392	chr3:66813299-66814545	Rsrc1(intragenic)	chr3:67009377-67010623
hs636	chr3:157882303-157883963	RSRC1(intragenic)	chr3:158164514-158166174	chr3:66839929-66841573	Rsrc1(intragenic)	chr3:67036007-67037651
hs741	chr3:157903310-157904642	RSRC1(intragenic)	chr3:158185521-158186853	chr3:66874217-66875516	Rsrc1(intragenic)	chr3:67070295-67071594
hs256	chr3:157989611-157990466	RSRC1(intragenic)	chr3:158271822-158272677	chr3:66950895-66951717	Rsrc1(intragenic)	chr3:67146973-67147795
hs1254	chr3:158009522-158010836	RSRC1(intragenic)	chr3:158291733-158293047	chr3:66974540-66975892	Rsrc1(intragenic)	chr3:67170618-67171970
hs257	chr3:158025746-158027384	RSRC1(intragenic)	chr3:158307957-158309595	chr3:66994854-66996512	Rsrc1(intragenic)	chr3:67190932-67192590
hs1413	chr3:158085650-158086832	RSRC1(intragenic)	chr3:158367861-158369043	chr3:67016605-67017806	Rsrc1(intragenic)	chr3:67212683-67213884
hs832	chr3:158201553-158202329	RSRC1(intragenic)	chr3:158483764-158484540	chr3:67113592-67114365	Rsrc1(intragenic)	chr3:67309670-67310443
hs784	chr3:158245851-158246580	RSRC1(intragenic)	chr3:158528062-158528791	chr3:67144569-67145324	Rsrc1(intragenic)	chr3:67340647-67341402
hs1990	chr3:158486256-158493372	RARRES1-MFSD1	chr3:158768467-158775583	chr3:67354115-67356150	Rarres1-Mfsd1	chr3:67550193-67552228
mm675	chr3:161491370-161493190	OTOL1-LINC01192	chr3:161773582-161775402	chr3:70115222-70117737	Otol1-Gm6634	chr3:70311300-70313815
hs1982	chr3:164170901-164174258	LINC01192-SI	chr3:164453113-164456470	chr3:72279741-72283137	Gm6634-Sis	chr3:72475819-72479215
hs477	chr3:168833392-168834540	MECOM(intragenic)	chr3:169115604-169116752	chr3:29878744-29879892	Mecom(intragenic)	chr3:29979822-29980970
hs1433	chr3:168958333-168962944	MECOM-TERC	chr3:169240545-169245156	chr3:30003454-30008202	Mecom(intragenic)	chr3:30104532-30109280
mm492	chr3:170949236-170950998	MIR569-TNIK	chr3:171231447-171233209	chr3:28389991-28390831	Tnik(intragenic)	chr3:28491069-28491909
hs2117	chr3:170999516-171003506	MIR569-TNIK	chr3:171281727-171285717	chr3:28337204-28340884	Tnik(intragenic)	chr3:28438282-28441962
hs2118	chr3:171011050-171015963	MIR569-TNIK	chr3:171293261-171298174	chr3:28327797-28332388	Tnik(intragenic)	chr3:28428875-28433466
hs2119	chr3:171022891-171027653	MIR569-TNIK	chr3:171305102-171309864	chr3:28319015-28321083	Tnik(intragenic)	chr3:28420093-28422161
hs2120	chr3:171039744-171043753	MIR569-TNIK	chr3:171321955-171325964	chr3:28303784-28307113	Tnik(intragenic)	chr3:28404862-28408191
hs1712	chr3:173448118-173452132	NLGN1(intragenic)	chr3:173730328-173734342	chr3:25900460-25903893	Nlgn1(intragenic)	chr3:26001538-26004971
hs750	chr3:17608555-17609487	TBC1D5(intragenic)	chr3:17567063-17567995	chr17:51201795-51202736	Tbc1d5(intragenic)	chr17:51062470-51063411
hs839	chr3:17987632-17988945	TBC1D5-LOC339862	chr3:17946140-17947453	chr17:51509811-51511097	Tbc1d5-C330011F03	chr17:51370486-51371772
hs258	chr3:180436427-180437958	LOC101928882(intragenic)	chr3:180718639-180720170	chr3:33781318-33782778	Ccdc39-Fxr1	chr3:33882396-33883856
hs655	chr3:180461825-180462874	LOC101928882(intragenic)	chr3:180744037-180745086	chr3:33804131-33805100	Ccdc39-Fxr1	chr3:33905209-33906178
hs192	chr3:180773639-180775802	DNAJC19-SOX2-OT	chr3:181055851-181058014	chr3:34002549-34004729	Dnajc19-Sox2ot	chr3:34103627-34105807
mm1529	chr3:181135720-181136707	SOX2-OT(intragenic)	chr3:181417932-181418919	chr3:34310580-34311526	Dnajc19-Sox2ot	chr3:34411658-34412604
hs250	chr3:18169362-18170237	LOC339862(intragenic)	chr3:18127870-18128745	chr17:51675683-51676643	C330011F03-Satb1	chr17:51536358-51537318
hs1332	chr3:181958774-181961127	LINC01206-FLJ46066	chr3:182240986-182243339	chr3:34986458-34988687	Gm3143-Gm6639	chr3:35087536-35089765
mm639	chr3:181975341-181976888	LINC01206-FLJ46066	chr3:182257553-182259100	chr3:35001233-35002696	Gm3143-Gm6639	chr3:35102311-35103774
mm640	chr3:182226227-182227959	FLJ46066-ATP11B	chr3:182508439-182510171	chr3:35239328-35240939	Gm3143-Gm6639	chr3:35340406-35342017
mm996	chr3:182284630-182287768	FLJ46066-ATP11B	chr3:182566842-182569980	chr3:35302616-35305632	Gm3143-Gm6639	chr3:35403694-35406710
mm599	chr3:184396314-184397969	EPHB3-MAGEF1	chr3:184678526-184680181	chr16:21310462-21311768	A830060N17-Vps8	chr16:21310389-21311695
hs2083	chr3:185462672-185464469	C3orf65-TRA2B	chr3:185744884-185746681	chr16:22110002-22110934	Igf2bp2(intragenic)	chr16:22109929-22110861
hs1976	chr3:185513085-185516369	C3orf65-TRA2B	chr3:185795297-185798581			
hs2382	chr3:186123841-186125332	DGKG-LOC253573	chr3:186406052-186407543	chr16:22698013-22699870	Dgkg-Crygs	chr16:22697940-22699797
hs1952	chr3:186664911-186668475	ST6GAL1(intragenic)	chr3:186947123-186950687	chr16:23237488-23244626	St6gal1(intragenic)	chr16:23237415-23244553
mm1315	chr3:186988827-186995894	MASP1(intragenic)	chr3:187271039-187278106	chr16:23502881-23507429	Masp1(intragenic)	chr16:23502808-23507356
hs251	chr3:18844368-18845392	SATB1-KCNH8	chr3:18802876-18803900	chr17:52364835-52365855	Gm20098-Kcnh8	chr17:52225510-52226530
hs887	chr3:188857183-188858023	LPP-AS1-TPRG1	chr3:189139394-189140234	chr16:25255465-25256294	A230028O05Rik-Tprg	chr16:25255379-25256208
hs651	chr3:18898614-18899860	SATB1-KCNH8	chr3:18857122-18858368	chr17:52447155-52448401	Gm20098-Kcnh8	chr17:52307830-52309076
hs825	chr3:18916569-18917473	SATB1-KCNH8	chr3:18875077-18875981	chr17:52469177-52470077	Gm20098-Kcnh8	chr17:52329852-52330752
hs1286	chr3:189233649-189234301	TPRG1-AS2-TP63	chr3:189515860-189516512	chr16:25587941-25588571	Tprg-Trp63	chr16:25587855-25588485
mm1095	chr3:189738142-189739487	LEPREL1(intragenic)	chr3:190020353-190021698	chr16:26025294-26026569	Leprel1(intragenic)	chr16:26025208-26026483
mm1097	chr3:189765949-189768332	LEPREL1(intragenic)	chr3:190048160-190050543	chr16:26040924-26042929	Leprel1(intragenic)	chr16:26040838-26042843
hs936	chr3:19027747-19029355	SATB1-KCNH8	chr3:18986255-18987863	chr17:52598809-52600417	Gm20098-Kcnh8	chr17:52459484-52461092
hs252	chr3:19033849-19034569	SATB1-KCNH8	chr3:18992357-18993077	chr17:52604445-52605152	Gm20098-Kcnh8	chr17:52465120-52465827
hs1563	chr3:193489359-193491333	OPA1-AS1-LOC647323	chr3:193771570-193773544	chr16:29719446-29721248	Opa1-Gm1968	chr16:29719360-29721162
hs1344	chr3:193660817-193662478	OPA1-AS1-LOC647323	chr3:193943028-193944689	chr16:29882522-29884217	Opa1-Gm1968	chr16:29882436-29884131
hs1453	chr3:193677518-193680170	LOC647323(intragenic)	chr3:193959729-193962381	chr16:29893202-29895895	Opa1-Gm1968	chr16:29893116-29895809
hs1543	chr3:193929360-193931457	HES1-LINC00887	chr3:194211571-194213668	chr16:30128894-30130951	Hes1-Cpn2	chr16:30128808-30130865
mm988	chr3:194711357-194717155	LOC100507391-XXYLT1	chr3:194990628-194996426	chr16:30872748-30875402	Fam43a-AI480653	chr16:30872662-30875316
hs2091	chr3:195846372-195848341	TFRC-LINC00885	chr3:196119501-196121470	chr16:32568498-32570882	Zdhhc19-Tfrc	chr16:32568412-32570796
mm1352	chr3:197436936-197441809	MIR922-FYTTD1	chr3:197710065-197714938	chr16:32852170-32855955	1700021K19Rik(intragenic)	chr16:32852084-32855869
hs1557	chr3:28033828-28035751	EOMES-CMC1	chr3:27992337-27994260	chr9:118227088-118228912	Cmc1-4933432G23Rik	chr9:118317970-118319794
mm1755	chr3:36284120-36286002	MIR128-2-STAC	chr3:36242628-36244510	chr9:111664243-111666468	Stac-Arpp21	chr9:111761739-111763964
hs1961	chr3:37805999-37809080	ITGA9-AS1(intragenic)	chr3:37764508-37767589	chr9:118767715-118770784	Itga9(intragenic)	chr9:118858597-118861666
hs1914	chr3:37810701-37814504	ITGA9-AS1(intragenic)	chr3:37769210-37773013	chr9:118772441-118777265	Itga9(intragenic)	chr9:118863323-118868147
mm1627	chr3:37950146-37952848	CTDSPL(intragenic)	chr3:37908655-37911357	chr9:118888604-118890906	Ctdspl(intragenic)	chr9:118979486-118981788
hs2266	chr3:38572887-38576032	EXOG-SCN5A	chr3:38531396-38534541	chr9:119376610-119380139	Exog-Scn5a	chr9:119467492-119471021
hs2267	chr3:38584158-38586744	EXOG-SCN5A	chr3:38542667-38545253	chr9:119387556-119390424	Exog-Scn5a	chr9:119478438-119481306
hs2176	chr3:38602635-38607552	SCN5A(intragenic)	chr3:38561144-38566061	chr9:119405492-119407702	Scn5a(intragenic)	chr9:119496374-119498584
hs2177	chr3:38619853-38622987	SCN5A(intragenic)	chr3:38578362-38581496	chr9:119423817-119427009	Scn5a(intragenic)	chr9:119514699-119517891
hs2268	chr3:38763627-38768407	SCN10A(intragenic)	chr3:38722136-38726916	chr9:119539079-119544877	Scn10a(intragenic)	chr9:119629961-119635759
hs2619	chr3:38846741-38848271	SCN10A-SCN11A	chr3:38805250-38806780	chr9:119615395-119617113	Scn10a(intragenic)	chr9:119706277-119707995
mm1667	chr3:39191580-39194066	CSRNP1(intragenic)	chr3:39150089-39152575	chr9:119889709-119891894	Csrnp1(intragenic)	chr9:119980591-119982776
mm1652	chr3:39235084-39235406	XIRP1-CX3CR1	chr3:39193593-39193915	chr9:119935724-119937434	Xirp1-Cx3cr1	chr9:120026606-120028316
mm1406	chr3:40624532-40627849	ZNF621-CTNNB1	chr3:40583041-40586358	chr9:120511026-120513650	Rpl14-1700020M21Rik	chr9:120601909-120604533
mm976	chr3:40655899-40659404	ZNF621-CTNNB1	chr3:40614408-40617913	chr9:120527563-120530649	Rpl14-1700020M21Rik	chr9:120618446-120621531
mm1305	chr3:42060042-42062502	ULK4-TRAK1	chr3:42018550-42021010	chr9:121210706-121215001	Ulk4-Trak1	chr9:121301588-121305883
mm1661	chr3:42065973-42068295	ULK4-TRAK1	chr3:42024481-42026803	chr9:121220832-121224065	Ulk4-Trak1	chr9:121311714-121314947
hs2359	chr3:42113230-42114717	ULK4-TRAK1	chr3:42071738-42073225	chr9:121264416-121266584	Ulk4-Trak1	chr9:121355298-121357466
mm1554	chr3:42116009-42122241	ULK4-TRAK1	chr3:42074517-42080749	chr9:121268621-121270622	Ulk4-Trak1	chr9:121359503-121361504
mm736	chr3:48184856-48199672	MAP4-MIR4443	chr3:48143366-48158182	chr9:109795468-109798972	Cdc25a-Mtap4	chr9:109892964-109896468
mm1582	chr3:50264337-50265469	GNAI2(intragenic)	chr3:50226905-50228037	chr9:107546342-107547707	Gnai2-Slc38a3	chr9:107644011-107645376
hs1747	chr3:50636478-50640158	HEMK1-CISH	chr3:50599047-50602727	chr9:107208266-107212289	Cish-Hemk1	chr9:107305935-107309958
mm362	chr3:52039346-52041545	RPL29-DUSP7	chr3:52005330-52007529	chr9:106319282-106321124	Dusp7-Rpl29	chr9:106416951-106418793
mm342	chr3:52072735-52076087	RPL29-DUSP7	chr3:52038719-52042071	chr9:106285326-106287994	Dusp7-Rpl29	chr9:106382995-106385663
mm1475	chr3:52100367-52105406	LINC00696-POC1A	chr3:52066351-52071390	chr9:106256435-106260650	Poc1a-Dusp7	chr9:106354104-106358319
hs2179	chr3:52461982-52465131	PHF7-SEMA3G	chr3:52427966-52431115	chr14:32045521-32048708	Sema3g-Phf7	chr14:31232335-31235522
hs2180	chr3:52500679-52503714	NISCH(intragenic)	chr3:52466663-52469698	chr14:32006607-32009519	Nisch(intragenic)	chr14:31193421-31196333
hs1436	chr3:55017475-55018560	LRTM1-WNT5A	chr3:54983448-54984533	chr14:29785520-29786831	Cacna2d3(intragenic)	chr14:28972334-28973645
hs1472	chr3:55524543-55526260	WNT5A-ERC2	chr3:55490515-55492232	chr14:29314292-29315721	Erc2-Wnt5a	chr14:28501106-28502535
hs1264	chr3:55788950-55790828	ERC2-IT1-MIR3938	chr3:55754922-55756800	chr14:29064830-29066617	Erc2(intragenic)	chr14:28251644-28253431
hs1512	chr3:56802413-56804092	ARHGEF3(intragenic)	chr3:56768385-56770064	chr14:28180194-28181146	Arhgef3(intragenic)	chr14:27367008-27367960
hs2098	chr3:61793891-61797865	PTPRG(intragenic)	chr3:61808217-61812191	chr14:12608135-12611592	Ptprg(intragenic)	chr14:11775621-11779078
hs434	chr3:62350726-62351718	C3orf14-FEZF2	chr3:62365051-62366043	chr14:13169988-13170954	3830406C13Rik-Fezf2	chr14:12337474-12338440
hs435	chr3:62359866-62360569	FEZF2-CADPS	chr3:62374191-62374894	chr14:13179005-13179696	Fezf2-Cadps	chr14:12346491-12347182
hs1316	chr3:62405817-62408099	CADPS(intragenic)	chr3:62420142-62422424	chr14:13225035-13227325	Cadps(intragenic)	chr14:12392521-12394811
hs1387	chr3:63672828-63674786	SNTN-C3orf49	chr3:63687152-63689110	chr14:14602838-14603949	Sntn-Thoc7	chr14:13770324-13771435
mm1713	chr3:64891585-64893299	MIR548A2(intragenic)	chr3:64905910-64907624	chr6:93122032-93124004	9530026P05Rik-Magi1	chr6:93172038-93174010
mm1316	chr3:65482270-65487518	MAGI1(intragenic)	chr3:65496595-65501843	chr6:93768350-93773377	Magi1(intragenic)	chr6:93818356-93823383
hs2038	chr3:65589981-65591565	MAGI1(intragenic)	chr3:65604306-65605890	chr6:93870896-93872403	Magi1(intragenic)	chr6:93920902-93922409
mm1736	chr3:66492588-66493957	LRIG1(intragenic)	chr3:66442164-66443533	chr6:94597413-94598988	Lrig1(intragenic)	chr6:94647419-94648994
mm878	chr3:66625828-66629002	LRIG1-KBTBD8	chr3:66575404-66578578	chr6:94703092-94707434	Lrig1-4930511E03Rik	chr6:94753098-94757440
mm1513	chr3:67109963-67112039	KBTBD8-MIR4272	chr3:67059539-67061615	chr6:95123853-95125587	Kbtbd8-AY512915	chr6:95173859-95175593
mm60	chr3:70120047-70122477	LINC01212-FOXP1	chr3:70070896-70073326	chr6:98062388-98064826	Mitf-Gm765	chr6:98112394-98114832
hs206	chr3:70565242-70566852	LINC01212-FOXP1	chr3:70516091-70517701	chr6:98459370-98461042	Gm765-Foxp1	chr6:98509376-98511048
hs1214	chr3:70701489-70702904	LINC01212-FOXP1	chr3:70652338-70653753	chr6:98575744-98577131	Gm765-Foxp1	chr6:98625750-98627137
hs207	chr3:70871316-70872957	LINC01212-FOXP1	chr3:70822165-70823806	chr6:98717386-98719027	Gm765-Foxp1	chr6:98767392-98769033
hs1231	chr3:71026229-71026764	FOXP1(intragenic)	chr3:70977078-70977613	chr6:98894753-98895311	Foxp1(intragenic)	chr6:98944759-98945317
hs864	chr3:71034389-71035430	FOXP1(intragenic)	chr3:70985238-70986279	chr6:98902030-98903082	Foxp1(intragenic)	chr6:98952036-98953088
hs854	chr3:71052376-71053246	FOXP1(intragenic)	chr3:71003225-71004095	chr6:98918185-98919071	Foxp1(intragenic)	chr6:98968191-98969077
hs965	chr3:71099157-71100851	FOXP1(intragenic)	chr3:71050006-71051700	chr6:98962959-98964595	Foxp1(intragenic)	chr6:99012965-99014601
hs1092	chr3:71153556-71155053	FOXP1(intragenic)	chr3:71104405-71105902	chr6:99016713-99018658	Foxp1(intragenic)	chr6:99066719-99068664
hs1572	chr3:71186391-71188583	FOXP1(intragenic)	chr3:71137240-71139432	chr6:99053301-99055357	Foxp1(intragenic)	chr6:99103307-99105363
hs1160	chr3:71253670-71255013	FOXP1-MIR1284	chr3:71204519-71205862	chr6:99119012-99120086	Foxp1(intragenic)	chr6:99169018-99170092
hs630	chr3:71277312-71278956	FOXP1-MIR1284	chr3:71228161-71229805	chr6:99139651-99141458	Foxp1(intragenic)	chr6:99189657-99191464
hs187	chr3:71290418-71292584	FOXP1-MIR1284	chr3:71241267-71243433	chr6:99151224-99153431	Foxp1(intragenic)	chr6:99201230-99203437
mm242	chr3:71339334-71340464	FOXP1-MIR1284	chr3:71290183-71291313	chr6:99201421-99202233	Foxp1(intragenic)	chr6:99251427-99252239
hs1116	chr3:71446827-71448809	FOXP1-MIR1284	chr3:71397676-71399658	chr6:99296426-99298655	Foxp1(intragenic)	chr6:99346432-99348661
hs997	chr3:71499477-71500970	FOXP1-MIR1284	chr3:71450326-71451819	chr6:99344906-99346378	Foxp1(intragenic)	chr6:99394912-99396384
hs973	chr3:71507469-71508874	FOXP1-MIR1284	chr3:71458318-71459723	chr6:99353913-99355372	Foxp1(intragenic)	chr6:99403919-99405378
hs1149	chr3:71573607-71574540	FOXP1-MIR1284	chr3:71524456-71525389	chr6:99416870-99417813	Foxp1-Eif4e3	chr6:99466876-99467819
hs1010	chr3:71590897-71592786	FOXP1-EIF4E3	chr3:71541746-71543635	chr6:99433855-99436221	Foxp1-Eif4e3	chr6:99483861-99486227
mm681	chr3:71988841-71990783	PROK2-LINC00877	chr3:71939690-71941632	chr6:99836857-99839366	Prok2-Rybp	chr6:99886863-99889372
hs2006	chr3:72368145-72370230	LINC00870-RYBP	chr3:72318994-72321079	chr6:100146164-100149410	Prok2-Rybp	chr6:100196170-100199416
mm682	chr3:73571797-73574268	PDZRN3(intragenic)	chr3:73522646-73525117	chr6:101229924-101232500	Pdzrn3(intragenic)	chr6:101279930-101282506
hs1732	chr3:74128752-74131018	PDZRN3-CNTN3	chr3:74079601-74081867	chr6:101886775-101889340	Gm9871-Cntn3	chr6:101936781-101939346
mm1578	chr3:79034801-79040128	ROBO1(intragenic)	chr3:78985651-78990978	chr16:72690938-72694980	Robo1(intragenic)	chr16:72690693-72694735
hs1475	chr3:79042278-79045053	ROBO1(intragenic)	chr3:78993128-78995903	chr16:72685882-72688547	Robo1(intragenic)	chr16:72685637-72688302
hs1995	chr3:80596701-80604762	LOC101927374-GBE1	chr3:80547551-80555612	chr16:71390673-71407095	4930567J20Rik-Robo1	chr16:71390428-71406850
mm1480	chr3:9138393-9143537	SRGAP3(intragenic)	chr3:9096709-9101853	chr6:112758522-112762994	Srgap3(intragenic)	chr6:112808528-112813000
mm1364	chr3:9143560-9146731	SRGAP3(intragenic)	chr3:9101876-9105047	chr6:112763556-112766918	Srgap3(intragenic)	chr6:112813562-112816924
hs1462	chr3:94051018-94053829	NSUN3-LINC00879	chr3:94332174-94334985	chr16:62468078-62470609	Epha6-Nsun3	chr16:62468252-62470783
hs2069	chr4:10107986-10110350	MIR3138-ZNF518B	chr4:10106362-10108726			
hs2092	chr4:10317169-10322086	MIR3138-ZNF518B	chr4:10315545-10320462	chr5:38991078-38996753	Wdr1-Zfp518b	chr5:38599839-38605514
hs260	chr4:105345575-105346895	TACR3-CXXC4	chr4:104424418-104425738	chr3:133965341-133966666	Mir1895-4930539C22Rik	chr3:134302377-134303702
hs918	chr4:109062224-109063783	LEF1(intragenic)	chr4:108141068-108142627	chr3:130839255-130840776	Lef1(intragenic)	chr3:131136337-131137858
hs1545	chr4:109254340-109257033	LEF1-AS1-RPL34-AS1	chr4:108333184-108335877	chr3:130664672-130667345	Rpl34-Lef1	chr3:130961754-130964427
hs1050	chr4:109531908-109533465	RPL34-AS1(intragenic)	chr4:108610752-108612309	chr3:130439998-130441481	Rpl34-Lef1	chr3:130737080-130738563
hs2021	chr4:109893210-109895294	COL25A1(intragenic)	chr4:108972054-108974138	chr3:130142470-130144655	Col25a1(intragenic)	chr3:130439552-130441737
hs507	chr4:111530174-111530773	ENPEP-PITX2	chr4:110609018-110609617	chr3:128930112-128930684	Pitx2-Enpep	chr3:129227194-129227766
hs500	chr4:111578273-111578827	PITX2-C4orf32	chr4:110657117-110657671	chr3:128881350-128881853	D030025E07Rik-Pitx2	chr3:129178432-129178935
hs930	chr4:111669259-111671168	PITX2-C4orf32	chr4:110748103-110750012	chr3:128806723-128808628	D030025E07Rik-Pitx2	chr3:129103805-129105710
hs929	chr4:111834455-111835732	PITX2-C4orf32	chr4:110913299-110914576	chr3:128628839-128630035	D030025E07Rik-Pitx2	chr3:128925921-128927117
hs424	chr4:111914861-111917609	PITX2-C4orf32	chr4:110993705-110996453	chr3:128552237-128554925	D030025E07Rik-Pitx2	chr3:128849319-128852007
hs927	chr4:112035956-112037560	PITX2-C4orf32	chr4:111114800-111116404	chr3:128422028-128423649	D030025E07Rik-Pitx2	chr3:128719110-128720731
hs931	chr4:112130976-112132385	PITX2-C4orf32	chr4:111209820-111211229	chr3:128371444-128372918	D030025E07Rik-Pitx2	chr3:128668526-128670000
mm930	chr4:112319724-112322337	PITX2-C4orf32	chr4:111398568-111401181	chr3:128221691-128224234	D030025E07Rik-Pitx2	chr3:128518773-128521316
hs559	chr4:112421802-112422905	PITX2-C4orf32	chr4:111500646-111501749	chr3:128153108-128154203	D030025E07Rik-Pitx2	chr3:128450190-128451285
hs928	chr4:112556474-112558292	PITX2-C4orf32	chr4:111635318-111637136	chr3:128046004-128047707	D030025E07Rik-Pitx2	chr3:128343086-128344789
hs926	chr4:112668302-112669915	PITX2-C4orf32	chr4:111747146-111748759	chr3:127933033-127934684	D030025E07Rik-Pitx2	chr3:128230115-128231766
mm929	chr4:113047612-113049492	PITX2-C4orf32	chr4:112126456-112128336	chr3:127616644-127618219	5730508B09Rik-9830132P13	chr3:127913726-127915301
mm1549	chr4:113323490-113325504	ALPK1(intragenic)	chr4:112402334-112404348	chr3:127408166-127410166	Alpk1(intragenic)	chr3:127705248-127707248
hs981	chr4:113442390-113443530	NEUROG2-ZGRF1	chr4:112521234-112522374	chr3:127329759-127330822	4930422G04Rik-Neurog2	chr3:127626841-127627904
mm1653	chr4:114534505-114537030	CAMK2D(intragenic)	chr4:113613349-113615874	chr3:126425779-126427890	Camk2d(intragenic)	chr3:126722861-126724972
hs2504	chr4:120655056-120657889	PDE5A-LOC101927007	chr4:119733901-119736734			
mm1557	chr4:122388801-122392376	QRFPR-ANXA5	chr4:121467646-121471221	chr6:65259696-65261683	Hpgds-C130060K24Rik	chr6:65309702-65311689
hs1582	chr4:124383428-124386454	SPRY1-LINC01091	chr4:123462273-123465299	chr3:37570620-37573005	Spry1-Gm5148	chr3:37671698-37674083
hs2592	chr4:124703587-124708683	LINC01091(intragenic)	chr4:123782432-123787528	chr3:37741233-37746119	Gm5148-LOC626410	chr3:37842311-37847197
hs1525	chr4:124775814-124779530	LINC01091(intragenic)	chr4:123854659-123858375	chr3:37793622-37797748	Gm5148-5430434I15Rik	chr3:37894700-37898826
hs1389	chr4:126439832-126442014	MIR2054-INTU	chr4:125518677-125520859	chr3:38946180-38948251	Fat4-1700017G19Rik	chr3:39047258-39049329
